       support                                           itemsets  length
5772  0.002587            (Sun, E, American Airlines, True, KMIA)       5
5785  0.002587           (D, KBWI, Southwest Airlines, Sat, B737)       5
5763  0.002587           (E, American Airlines, B772, True, KMIA)       5
5936  0.002846                (D, Mon, True, Mesa Airlines, KIAH)       5
5697  0.002846              (E, Wed, JetBlue Airways, True, A320)       5
5847  0.002846             (E, Delta Air Lines, True, B753, KMSP)       5
5930  0.002846       (D, Sky Regional Airlines, True, E75S, KLGA)       5
5804  0.002846           (E, KMDW, Southwest Airlines, Sat, B737)       5
5925  0.002846                (D, True, E75L, Sat, Mesa Airlines)       5
5922  0.002846                         (Thu, D, True, E75L, KIAH)       5
5919  0.002846                         (D, Mon, True, E75L, KIAH)       5
5939  0.002846                (Thu, D, True, Mesa Airlines, KIAH)       5
5715  0.002846            (A321, E, American Airlines, Mon, True)       5
5917  0.002846                (Thu, D, E75L, Mesa Airlines, KIAH)       5
5913  0.002846           (D, KEWR, True, E75L, Republic Airlines)       5
5907  0.002846                (D, E75L, Mesa Airlines, KIAH, Fri)       5
5906  0.002846           (D, False, E75L, SkyWest Airlines, KSAN)       5
5905  0.002846           (D, False, KPDX, E75L, SkyWest Airlines)       5
5690  0.002846             (E, JetBlue Airways, True, KJFK, A320)       5
5892  0.002846            (E, Compass Airlines, True, E75S, KSEA)       5
5888  0.002846                (D, PSA Airlines, True, CRJ9, KCLT)       5
5803  0.002846             (E, True, KLGA, B737, United Airlines)       5
5780  0.002846                   (KTPA, E, Atlas Air, B763, True)       5
5698  0.002846             (E, KBWI, True, A320, Spirit Airlines)       5
5943  0.002846              (E, Delta Air Lines, True, KJFK, Sat)       5
5733  0.002846       (E, KBOS, True, Alaska Airlines, Inc., B737)       5
5969  0.002846           (E, KPHX, True, Southwest Airlines, Sat)       5
5738  0.002846            (Fri, D, American Airlines, True, B738)       5
5765  0.002846            (E, American Airlines, True, Fri, KMIA)       5
5830  0.002846             (E, True, KSFO, B738, United Airlines)       5
5955  0.002846           (E, KDCA, True, E75S, Republic Airlines)       5
5811  0.002846       (KPHX, False, Southwest Airlines, Sat, B737)       5
5832  0.002846              (E, True, Sat, B738, United Airlines)       5
5817  0.002846        (True, Southwest Airlines, Sat, KSAN, B737)       5
5834  0.002846              (Thu, E, True, B738, United Airlines)       5
5972  0.002846             (True, E75L, Mesa Airlines, KIAH, Fri)       5
5947  0.002846              (E, Delta Air Lines, True, Sat, KMSP)       5
5895  0.003105                   (D, True, Envoy Air, KCLT, E135)       5
5890  0.003105               (E, KDFW, True, CRJ9, Mesa Airlines)       5
5973  0.003105             (Mon, True, E75L, Mesa Airlines, KIAH)       5
5909  0.003105                (D, True, E75L, Mesa Airlines, Fri)       5
5960  0.003105              (E, KEWR, True, Fri, United Airlines)       5
5662  0.003105          (D, KPHX, American Airlines, False, A319)       5
5914  0.003105                (D, Mon, E75L, Mesa Airlines, KIAH)       5
5774  0.003105            (E, Wed, American Airlines, True, KMIA)       5
5916  0.003105                (Sun, D, E75L, Mesa Airlines, KIAH)       5
5942  0.003105              (E, Delta Air Lines, True, KMSP, Fri)       5
5957  0.003105          (E, KBWI, False, Southwest Airlines, Sat)       5
5755  0.003105            (Thu, E, American Airlines, True, B738)       5
5921  0.003105                         (Sun, D, True, E75L, KIAH)       5
5672  0.003105       (D, True, A320, KSEA, Alaska Airlines, Inc.)       5
5929  0.003105       (D, Sky Regional Airlines, KDCA, True, E75S)       5
5954  0.003105             (KFLL, E, E190, JetBlue Airways, True)       5
5678  0.003105             (D, KBWI, True, A320, Spirit Airlines)       5
5674  0.003105           (D, American Airlines, True, A320, KPHL)       5
5944  0.003105              (Sun, E, Delta Air Lines, True, KJFK)       5
5938  0.003105                (Sun, D, True, Mesa Airlines, KIAH)       5
5915  0.003105                (D, E75L, Sat, Mesa Airlines, KIAH)       5
5789  0.003105                        (E, KBWI, False, Sat, B737)       5
5976  0.003105             (Thu, True, E75L, Mesa Airlines, KIAH)       5
5732  0.003105               (D, KORD, Air Wisconsin, CRJ2, True)       5
5706  0.003105           (D, A321, American Airlines, True, KCLT)       5
5826  0.003105             (E, True, KIAH, B738, United Airlines)       5
5844  0.003105             (B744, E, True, British Airways, KSFO)       5
5833  0.003105              (Sun, E, True, B738, United Airlines)       5
5856  0.003105            (KDEN, CRJ2, True, SkyWest Airlines, C)       5
5870  0.003105           (True, E75S, Republic Airlines, KCLT, C)       5
5720  0.003105             (A321, E, Delta Air Lines, KBOS, True)       5
5823  0.003105              (Fri, E, True, B738, United Airlines)       5
5851  0.003105             (E, KORD, B772, True, United Airlines)       5
5975  0.003105             (Sun, True, E75L, Mesa Airlines, KIAH)       5
5727  0.003105                   (A333, Lufthansa, E, True, KCLT)       5
5815  0.003105        (KLAS, True, Southwest Airlines, Sat, B737)       5
5853  0.003105     (E, B77W, True, KSFO, Japan Airlines Domestic)       5
5926  0.003364                (Sun, D, True, E75L, Mesa Airlines)       5
5835  0.003364             (B739, D, KORD, True, United Airlines)       5
