       support                                           itemsets  length
5808  0.002587            (D, JetBlue Airways, KBOS, False, A320)       5
6035  0.002587               (PSA Airlines, KCVG, E, False, CRJ7)       5
6034  0.002587                  (E, KCMH, False, Envoy Air, CRJ7)       5
5879  0.002587      (E, KSMF, False, Alaska Airlines, Inc., B737)       5
6101  0.002587          (E, KMDW, False, Southwest Airlines, Sat)       5
5867  0.002587            (E, Delta Air Lines, EGLL, False, A332)       5
5846  0.002587             (Thu, E, False, A320, United Airlines)       5
6081  0.002587            (D, Sun, False, E75L, SkyWest Airlines)       5
6066  0.002587              (D, False, E75L, Mesa Airlines, KOKC)       5
6009  0.002587                 (Mon, Horizon Air, False, DH8D, C)       5
5877  0.002587              (D, KGSO, Air Wisconsin, CRJ2, False)       5
5876  0.002587               (D, Air Georgian, CRJ2, False, CYYZ)       5
6011  0.002587                 (Sun, Horizon Air, False, DH8D, C)       5
5982  0.002587             (B739, E, False, Sat, United Airlines)       5
6005  0.002587                (Horizon Air, False, KBIL, DH8D, C)       5
5981  0.002587            (B739, E, False, KSFO, United Airlines)       5
5845  0.002587             (Sun, E, False, A320, United Airlines)       5
5874  0.002587                 (E, B752, EINN, False, Aer Lingus)       5
6054  0.002587                   (Thu, D, False, Envoy Air, E135)       5
5913  0.002587           (B, KSBN, CRJ2, False, SkyWest Airlines)       5
5806  0.002587            (KIAD, False, A320, C, United Airlines)       5
5792  0.002587          (E, American Airlines, KDCA, False, A319)       5
5873  0.002587              (A359, E, OTHH, False, Qatar Airways)       5
6016  0.002587            (E190, JetBlue Airways, False, KJFK, C)       5
6095  0.002587          (E, False, E75S, Republic Airlines, KMSP)       5
5917  0.002587            (KFLL, E, Delta Air Lines, False, B712)       5
6015  0.002587          (E170, KEWR, False, Republic Airlines, C)       5
6014  0.002587      (E145, KDEN, Trans States Airlines, False, C)       5
5979  0.002846             (Thu, B739, E, Delta Air Lines, False)       5
5966  0.002846            (PHOG, E, False, B738, United Airlines)       5
5997  0.002846              (E, OTHH, B77L, False, Qatar Airways)       5
5831  0.002846            (E, JetBlue Airways, False, SEQM, A320)       5
5989  0.002846            (E, Delta Air Lines, False, B753, KSEA)       5
5975  0.002846            (B739, E, Delta Air Lines, False, KPDX)       5
6029  0.002846              (D, KIAD, False, Mesa Airlines, CRJ7)       5
6007  0.002846                (Horizon Air, False, KRDM, DH8D, C)       5
5995  0.002846            (E, B772, False, EIDW, United Airlines)       5
6006  0.002846                (KMSO, Horizon Air, False, DH8D, C)       5
5880  0.002846      (E, False, KSEA, Alaska Airlines, Inc., B738)       5
5949  0.002846       (KPHX, False, Southwest Airlines, Sat, B737)       5
5871  0.002846                  (Lufthansa, E, A343, False, EDDF)       5
5915  0.002846            (D, Delta Air Lines, KDEN, False, B712)       5
5852  0.002846          (A321, E, American Airlines, KEWR, False)       5
5910  0.002846                  (E, Atlas Air, B763, False, KSCK)       5
5906  0.002846          (E, American Airlines, B763, False, KJFK)       5
6057  0.002846                  (D, KAMA, E170, False, Envoy Air)       5
5793  0.002846          (E, American Airlines, False, KJAC, A319)       5
5902  0.002846           (Sun, E, American Airlines, False, B738)       5
5824  0.002846            (E, JetBlue Airways, False, A320, KBDL)       5
6067  0.002846           (D, False, E75L, SkyWest Airlines, KOKC)       5
6071  0.002846              (D, False, E75L, Mesa Airlines, KTUL)       5
6074  0.002846              (D, MMQT, False, E75L, Mesa Airlines)       5
5826  0.002846            (E, JetBlue Airways, False, A320, KLGB)       5
5882  0.002846          (E, American Airlines, B38M, False, SEQM)       5
5899  0.002846          (E, American Airlines, False, MDSD, B738)       5
5920  0.002846         (D, KLAS, False, Southwest Airlines, B737)       5
5827  0.002846            (E, KPIT, JetBlue Airways, False, A320)       5
5868  0.002846          (A333, E, American Airlines, EGLL, False)       5
6093  0.002846            (E, KHPN, E190, JetBlue Airways, False)       5
5829  0.002846            (KTPA, E, JetBlue Airways, False, A320)       5
6089  0.002846             (Sun, E, Delta Air Lines, False, KJFK)       5
6047  0.002846                  (D, KRDU, False, Envoy Air, E135)       5
6086  0.002846          (D, KLAS, False, Southwest Airlines, Sat)       5
5816  0.002846            (E, Delta Air Lines, KAUS, False, A320)       5
6090  0.002846             (Thu, E, Delta Air Lines, False, KJFK)       5
6049  0.002846                  (D, False, Envoy Air, E135, MMCU)       5
5923  0.002846           (D, KLAS, Southwest Airlines, Sat, B737)       5
6024  0.003105           (D, CRJ2, False, KFAT, SkyWest Airlines)       5
6018  0.003105          (False, KHXD, E75S, Republic Airlines, C)       5
6020  0.003105           (D, KBOI, CRJ2, False, SkyWest Airlines)       5
6078  0.003105               (Thu, D, False, E75L, Mesa Airlines)       5
6043  0.003105      (D, Sky Regional Airlines, False, E75S, CYUL)       5
6073  0.003105              (D, MMMY, False, E75L, Mesa Airlines)       5
6072  0.003105              (D, False, E75L, Mesa Airlines, MMGL)       5
6102  0.003105          (KOAK, E, False, Southwest Airlines, Sat)       5
6070  0.003105           (D, KSJC, False, E75L, SkyWest Airlines)       5
6045  0.003105      (D, Sky Regional Airlines, False, CYYZ, E75S)       5
6065  0.003105           (KLAX, D, False, E75L, SkyWest Airlines)       5
6050  0.003105                  (D, MMTC, False, Envoy Air, E135)       5
6099  0.003105          (E, KDEN, False, Southwest Airlines, Sat)       5
6063  0.003105           (D, KBOI, False, E75L, SkyWest Airlines)       5
6026  0.003105            (D, CRJ2, False, Sat, SkyWest Airlines)       5
6058  0.003105                  (D, E170, False, KMSY, Envoy Air)       5
6056  0.003105                  (D, E145, KGSO, False, Envoy Air)       5
6027  0.003105             (GoJet Airlines, D, KORD, False, CRJ7)       5
5970  0.003105             (Thu, E, False, B738, United Airlines)       5
5998  0.003105    (E, B77W, False, RJTT, Japan Airlines Domestic)       5
5952  0.003105            (D, False, KFSD, B738, United Airlines)       5
5948  0.003105       (KOAK, False, Southwest Airlines, Sat, B737)       5
5943  0.003105       (KDAL, False, Southwest Airlines, Sat, B737)       5
5940  0.003105           (KOAK, E, Southwest Airlines, Sat, B737)       5
5813  0.003105             (D, False, A320, Sat, Spirit Airlines)       5
5930  0.003105         (KOAK, E, False, Southwest Airlines, B737)       5
5929  0.003105                        (KOAK, E, False, Sat, B737)       5
5919  0.003105                        (D, KLAS, False, Sat, B737)       5
5999  0.003105            (E, EGLL, False, B788, United Airlines)       5
5908  0.003105          (E, SEGU, American Airlines, B763, False)       5
5905  0.003105          (E, EGPF, American Airlines, B752, False)       5
5903  0.003105           (Thu, E, American Airlines, False, B738)       5
5889  0.003105           (D, American Airlines, Mon, False, B738)       5
5878  0.003105      (E, False, KSEA, Alaska Airlines, Inc., B737)       5
5875  0.003105         (D, Aeroméxico Connect, E190, MMMX, False)       5
5870  0.003105                  (A333, Lufthansa, E, EDDM, False)       5
5869  0.003105          (LIRF, A333, E, American Airlines, False)       5
5865  0.003105          (E, American Airlines, LEMD, False, A332)       5
5864  0.003105          (E, American Airlines, False, A332, LEBL)       5
5841  0.003105            (E, KORD, False, A320, United Airlines)       5
5836  0.003105            (E, KBWI, False, A320, Spirit Airlines)       5
5960  0.003105            (E, KCLE, False, B738, United Airlines)       5
5807  0.003105            (E, CYYC, False, A320, United Airlines)       5
5909  0.003105          (E, American Airlines, B772, LEMD, False)       5
5964  0.003105            (E, False, MROC, B738, United Airlines)       5
5994  0.003105            (EDDM, E, B772, False, United Airlines)       5
5980  0.003105            (B739, KFLL, E, False, United Airlines)       5
5996  0.003105            (E, B772, False, LEBL, United Airlines)       5
5978  0.003105             (B739, Sun, E, Delta Air Lines, False)       5
6080  0.003364            (D, False, E75L, Sat, SkyWest Airlines)       5
6061  0.003364               (D, False, E75L, Mesa Airlines, Fri)       5
6075  0.003364               (D, Mon, False, E75L, Mesa Airlines)       5
5892  0.003364           (Thu, D, American Airlines, False, B738)       5
5985  0.003364            (KLAX, E, Delta Air Lines, B752, False)       5
6013  0.003364                 (E145, KEWR, False, ExpressJet, C)       5
5804  0.003364          (D, American Airlines, KRDU, False, A320)       5
6055  0.003364                  (D, E145, KAVP, False, Envoy Air)       5
5866  0.003364                    (SKBO, E, Avianca, False, A332)       5
5828  0.003364            (E, JetBlue Airways, False, A320, KSFO)       5
6077  0.003364               (D, Sun, False, E75L, Mesa Airlines)       5
6048  0.003364                  (D, KSGF, False, Envoy Air, E135)       5
5818  0.003364            (E, Delta Air Lines, False, KJFK, A320)       5
6069  0.003364           (D, False, KRNO, E75L, SkyWest Airlines)       5
