,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,cloud_altitude,temp,dewpoint,visibility,wind_speed,gust_speed,delay
10962,2,462,350,24,20,19,21,0,-3.2333333333333334,-1.25,1,11000.0,28.0,28.0,10.0,10.0,0.0,0
10963,2,479,280,15,30,17,18,0,2.6666666666666665,3.56666666666667,1,8000.0,24.0,24.0,10.0,5.0,0.0,0
10964,2,472,289,24,20,19,22,0,25.43333333333333,-6.650000000000006,1,20000.0,24.0,24.0,10.0,11.0,0.0,0
10965,2,468,280,15,30,17,18,0,10.766666666666667,11.450000000000005,1,16000.0,35.0,35.0,10.0,8.0,0.0,0
10983,35,484,330,11,24,19,5,26,46.11666666666667,1.8833333333333253,0,15000.0,19.0,19.0,10.0,10.0,0.0,0
10995,1,441,360,11,3,19,21,10,3.966666666666667,24.099999999999994,1,20000.0,23.0,23.0,10.0,12.0,0.0,0
10996,2,447,360,11,3,19,21,10,10.566666666666666,17.25,1,15000.0,22.0,22.0,10.0,14.0,0.0,0
11006,4,444,370,11,36,19,20,10,0.6,12.066666666666665,1,20000.0,23.0,23.0,10.0,12.0,0.0,0
11007,1,445,370,11,36,19,23,10,153.45,9.5,1,15000.0,18.0,18.0,10.0,10.0,0.0,0
11018,8,425,340,11,26,15,18,30,58.5,-0.5999999999999943,0,7000.0,19.0,19.0,10.0,4.0,0.0,0
11019,0,454,370,11,26,15,18,30,22.73333333333333,4.383333333333326,0,20000.0,22.0,22.0,10.0,6.0,0.0,0
11030,1,441,330,11,6,19,20,10,-5.766666666666668,11.6,1,20000.0,23.0,23.0,10.0,12.0,0.0,0
11047,3,468,290,11,6,19,20,13,10.55,-24.73333333333333,2,20000.0,23.0,23.0,10.0,12.0,0.0,0
11048,3,462,280,19,9,17,18,13,43.28333333333333,-20.166666666666664,2,20000.0,28.0,28.0,10.0,14.0,0.0,0
11049,3,454,270,11,6,19,20,13,20.0,-17.35,2,15000.0,22.0,22.0,10.0,14.0,0.0,0
11050,3,460,280,19,9,17,18,13,11.383333333333333,-14.0,2,20000.0,23.0,23.0,10.0,11.0,0.0,0
11057,25,490,370,11,110,19,6,38,17.45,-15.083333333333373,0,15000.0,22.0,22.0,10.0,14.0,0.0,0
11069,4,452,370,11,12,17,18,2,1.0,-6.0,1,18000.0,21.0,21.0,10.0,3.0,0.0,0
11070,4,451,370,11,12,17,18,2,5.35,-6.350000000000001,1,20000.0,23.0,23.0,10.0,11.0,0.0,0
11081,5,413,330,11,33,17,18,3,7.633333333333334,-4.599999999999994,3,18000.0,21.0,21.0,10.0,3.0,0.0,1
11082,5,411,330,11,33,17,18,3,4.816666666666666,-78.0,3,20000.0,23.0,23.0,10.0,11.0,0.0,0
11094,0,459,320,11,111,19,0,2,15.633333333333333,0.9166666666666856,0,15000.0,22.0,22.0,10.0,14.0,0.0,0
11106,0,450,380,11,3,17,19,1,16.083333333333332,11.566666666666665,0,18000.0,21.0,21.0,10.0,3.0,0.0,0
11107,11,456,220,10,52,21,6,1,19.633333333333333,-13.049999999999955,0,4300.0,18.0,18.0,10.0,7.0,0.0,0
11108,0,451,380,11,3,17,19,1,-0.25,17.0,0,20000.0,23.0,23.0,10.0,11.0,0.0,0
11116,1,446,350,11,30,18,20,10,1.7,8.86666666666666,1,15000.0,20.0,20.0,10.0,13.0,0.0,0
11126,0,442,370,1,54,15,18,2,-1.0,1.25,0,25000.0,29.0,29.0,10.0,7.0,0.0,0
11145,7,473,270,10,9,19,21,2,21.816666666666666,1.1833333333333371,0,3500.0,16.0,16.0,9.0,7.0,0.0,0
11146,7,464,310,10,9,19,21,2,29.86666666666667,4.13333333333334,0,6000.0,17.0,17.0,10.0,5.0,0.0,0
11158,8,452,350,10,12,19,21,10,13.433333333333335,-6.783333333333331,0,2500.0,16.0,16.0,3.0,6.0,0.0,0
11159,8,449,350,10,12,19,21,10,-1.8,-7.599999999999994,0,6000.0,17.0,17.0,10.0,5.0,0.0,0
11181,16,464,300,12,3,19,22,1,-8.0,8.0,0,10000.0,19.0,19.0,10.0,9.0,0.0,0
11182,16,444,330,10,17,18,20,1,15.0,-125.0,0,6000.0,17.0,17.0,10.0,4.0,0.0,0
11194,7,463,330,10,21,19,21,1,0.5833333333333334,3.0666666666666638,0,2500.0,16.0,16.0,3.0,6.0,0.0,0
11196,7,465,330,10,21,19,21,1,35.88333333333333,2.216666666666669,0,5500.0,18.0,18.0,10.0,4.0,0.0,0
11205,8,453,340,10,113,19,22,10,5.283333333333333,-8.066666666666663,0,6000.0,17.0,17.0,10.0,5.0,0.0,0
11218,5,373,140,4,53,12,12,3,-7.0,-3.0,3,900.0,13.0,13.0,5.0,4.0,0.0,1
11220,3,345,210,10,120,19,21,3,53.41666666666666,-24.63333333333333,2,5500.0,18.0,18.0,10.0,4.0,0.0,0
11228,3,439,350,10,48,19,20,11,14.3,6.700000000000002,2,2500.0,16.0,16.0,3.0,6.0,0.0,1
