,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_week,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,delay
9526,4.0,382,180,2,22,3,19,20,0,6.583333333333332,-17.03333333333333,1,0
9527,4.0,414,180,2,22,2,19,21,0,31.6,-3.25,1,0
9528,1.0,446,340,2,0,4,19,22,0,21.61666666666667,-5.616666666666673,0,0
9529,1.0,448,340,2,0,1,19,22,0,1.0,-171.0,0,0
9530,1.0,445,340,2,0,0,19,22,0,10.416666666666666,-4.966666666666669,0,0
9531,1.0,452,360,2,0,3,19,23,0,47.53333333333333,-15.533333333333333,0,0
9532,1.0,446,340,2,0,2,19,22,0,4.25,-20.44999999999999,0,0
9533,1.0,451,370,2,0,5,19,22,0,34.0,-12.0,0,0
9534,1.0,456,291,2,0,6,19,22,0,2.333333333333333,6.083333333333344,0,0
9535,1.0,451,370,2,0,4,19,22,0,-1.2833333333333334,-1.3166666666666629,0,0
9536,1.0,450,370,2,0,1,19,22,0,0.2833333333333333,-4.333333333333344,0,0
9537,1.0,414,250,2,0,0,19,23,0,65.9,-14.48333333333332,0,0
9538,1.0,447,360,2,0,3,19,22,0,-1.8833333333333333,5.400000000000006,0,0
9539,1.0,455,360,2,0,2,19,22,0,32.98333333333333,3.550000000000012,0,0
9540,1.0,452,340,2,0,6,19,22,0,0.4833333333333333,-5.400000000000006,0,0
9541,1.0,453,238,2,86,4,19,21,0,-4.7,-3.299999999999997,0,0
9542,1.0,453,370,2,86,1,19,22,0,24.466666666666665,7.849999999999994,0,0
9543,1.0,452,370,2,86,0,19,21,0,0.3,-4.88333333333334,0,0
9544,1.0,458,370,2,86,3,19,21,0,11.5,7.5,0,0
9545,1.0,459,370,2,86,2,19,22,0,39.86666666666667,-9.86666666666666,0,0
9546,1.0,470,330,2,86,5,19,22,0,13.0,-7.0,0,0
9547,1.0,461,350,2,86,4,19,21,0,-4.0,-10.0,0,0
9548,1.0,464,350,2,86,1,19,21,0,0.21666666666666667,-0.21666666666666856,0,0
9549,1.0,445,390,2,86,0,19,0,0,172.41666666666663,0.5833333333333286,0,0
9550,1.0,456,370,2,86,3,19,21,0,9.416666666666666,-3.4166666666666714,0,0
9551,1.0,462,350,2,86,2,19,22,0,16.316666666666666,15.683333333333335,0,0
9552,1.0,452,370,2,86,5,19,21,0,3.466666666666667,10.533333333333333,0,0
9553,1.0,458,350,2,36,4,19,22,0,5.166666666666667,7.833333333333344,0,0
9554,1.0,449,370,2,36,1,19,22,0,6.0,-151.0,0,0
9555,1.0,450,272,2,36,0,19,22,0,8.65,-1.6500000000000057,0,0
9556,1.0,447,370,2,36,3,19,21,0,-1.4333333333333331,1.4333333333333371,0,0
9557,1.0,450,370,2,36,2,19,0,0,158.01666666666668,-3.01666666666668,0,0
9558,1.0,453,350,2,36,5,19,23,0,119.0,-141.0,0,0
9559,1.0,450,370,2,36,6,19,22,0,3.6333333333333333,3.3833333333333258,0,0
9560,1.0,451,370,2,36,4,19,22,0,27.93333333333333,0.28333333333333144,0,0
9561,1.0,449,350,2,36,1,19,22,0,21.0,-11.133333333333326,0,1
9562,1.0,445,370,2,36,0,19,22,0,8.916666666666666,0.0,0,0
9563,1.0,447,370,2,36,3,19,22,0,13.4,-2.7166666666666686,0,0
9564,1.0,449,390,2,36,2,19,23,0,95.66666666666669,-6.116666666666673,0,0
9565,1.0,463,370,2,36,5,19,22,0,3.0,2.0,0,0
9566,13.0,475,330,2,17,4,19,22,8,-0.15,4.349999999999993,2,0
9567,3.0,439,340,2,17,1,19,22,8,9.65,3.8166666666666633,2,0
9568,3.0,439,340,2,17,0,19,22,8,6.683333333333334,1.3166666666666629,2,0
9569,3.0,476,320,2,17,3,19,22,8,61.7,1.63333333333334,2,0
9570,3.0,440,340,2,17,2,19,22,8,45.3,-14.366666666666674,2,0
9571,3.0,471,330,2,17,5,19,22,8,4.65,-15.083333333333346,2,0
9572,3.0,474,320,2,17,6,19,21,8,-4.5,5.116666666666674,2,0
9573,3.0,441,340,2,17,4,19,22,8,6.883333333333334,-2.8833333333333258,2,0
9574,3.0,476,320,2,17,1,19,22,8,5.116666666666666,5.883333333333327,2,0
9575,3.0,473,340,2,17,0,19,22,8,13.45,4.650000000000006,2,0
9576,3.0,431,320,2,17,3,19,22,8,1.3666666666666667,5.633333333333327,2,0
9577,3.0,462,340,2,17,2,19,21,8,-1.5833333333333333,-2.01666666666668,2,0
9578,3.0,431,330,2,17,5,19,22,8,12.6,2.6500000000000057,2,0
9579,9.0,417,370,2,44,4,19,21,6,-5.0,-9.0,2,0
9580,9.0,423,350,2,44,1,19,21,6,7.0,-9.016666666666666,2,0
9581,9.0,435,370,2,44,0,19,21,6,-0.4666666666666667,-2.38333333333334,2,0
9582,9.0,435,370,2,44,3,19,21,6,4.0,-11.13333333333334,2,0
9583,9.0,435,370,2,44,2,19,21,6,-3.033333333333333,-8.75,2,0
9584,9.0,428,330,2,44,5,19,21,6,-0.11666666666666667,-8.483333333333334,2,0
9585,9.0,418,370,2,44,6,19,21,6,-5.9,-5.549999999999998,2,0
9586,9.0,424,350,2,44,4,19,21,6,-4.0,-6.900000000000006,2,0
9587,9.0,423,350,2,44,1,19,21,6,13.0,-8.150000000000006,2,0
9588,9.0,386,330,2,44,0,19,21,6,-6.0,-14.683333333333335,2,0
9589,9.0,423,370,2,44,3,19,21,6,-4.016666666666667,1.9833333333333345,2,0
9590,9.0,429,370,2,44,2,19,21,6,6.166666666666668,-3.9833333333333343,2,0
9591,9.0,422,370,2,44,5,19,21,6,22.95,-6.416666666666671,2,0
9592,18.0,455,320,13,9,4,16,18,1,6.0,-153.0,0,0
9593,4.0,463,350,2,1,1,19,22,1,29.0,3.4666666666666686,1,0
9594,4.0,458,370,2,1,0,19,22,1,1.5166666666666666,7.483333333333322,1,0
9595,4.0,459,370,2,1,3,19,22,1,11.933333333333335,-0.9333333333333372,1,0
9596,4.0,454,390,2,1,2,19,22,1,9.266666666666667,7.699999999999987,1,0
9597,4.0,459,370,2,1,5,19,1,1,205.3333333333333,1.6666666666666572,1,0
9598,4.0,462,350,2,1,6,19,22,1,26.966666666666665,17.599999999999994,1,0
9599,4.0,462,360,2,1,4,19,23,1,18.916666666666668,34.08333333333334,1,0
9600,4.0,459,370,2,1,1,19,22,1,35.95,-3.4166666666666567,1,0
9601,4.0,460,282,2,1,0,19,21,1,-4.333333333333333,-1.6666666666666572,1,0
9602,4.0,459,370,2,1,3,19,22,1,2.0,-4.0,1,0
9603,4.0,461,390,2,1,2,19,22,1,-2.85,4.949999999999988,1,0
9604,4.0,462,350,2,1,5,19,22,1,5.35,6.650000000000006,1,0
9605,11.0,454,390,2,1,4,19,22,0,48.88333333333333,4.116666666666674,0,0
9606,11.0,452,370,2,1,1,19,22,0,13.0,9.0,0,0
9607,11.0,450,370,2,1,0,19,22,0,5.05,-0.05000000000001137,0,0
9608,11.0,452,390,2,1,3,19,23,0,84.45,-4.449999999999988,0,0
9609,11.0,453,370,2,1,2,19,22,0,23.41666666666667,-1.4166666666666572,0,0
9610,11.0,453,370,2,1,5,19,23,0,66.2,0.4666666666666686,0,0
9611,11.0,454,370,2,1,6,19,22,0,12.466666666666667,6.533333333333331,0,0
9612,11.0,454,370,2,1,4,19,23,0,43.65,51.98333333333332,0,0
9613,11.0,445,390,2,1,1,19,22,0,-0.55,3.0833333333333437,0,0
9614,11.0,453,390,2,1,0,19,21,0,-4.0,-5.033333333333331,0,0
9615,11.0,452,390,2,1,3,19,22,0,8.75,-3.550000000000012,0,0
9616,11.0,462,370,2,1,2,19,22,0,16.266666666666666,5.01666666666668,0,0
9617,11.0,469,390,2,1,5,19,23,0,78.21666666666667,-2.216666666666669,0,0
9618,5.0,458,271,11,19,4,1,7,0,17.55,-0.7833333333333599,1,0
9619,5.0,463,320,2,7,1,18,23,0,12.216666666666667,1.1666666666666856,1,0
9620,5.0,458,218,11,19,1,1,7,0,18.166666666666668,-0.44999999999998863,1,0
9621,5.0,463,320,2,7,0,18,1,0,83.43333333333334,-6.433333333333337,1,0
9622,5.0,458,290,11,19,0,1,7,0,2.2666666666666666,0.06666666666666288,1,0
9623,5.0,460,320,2,7,3,18,0,0,21.4,-2.25,1,0
9624,5.0,461,330,11,19,3,1,7,0,24.716666666666665,-19.149999999999977,1,0
9625,5.0,461,340,2,7,2,18,23,0,4.15,-15.149999999999974,1,0
9626,5.0,464,330,11,19,2,1,7,0,13.483333333333333,-12.483333333333347,1,0
9627,17.0,468,232,2,80,4,18,21,28,11.0,-12.01666666666668,1,0
9628,17.0,467,258,2,80,1,18,22,28,23.716666666666665,-1.8333333333333428,1,0
9629,17.0,462,263,2,80,0,18,22,28,61.61666666666667,5.716666666666669,1,0
9630,17.0,466,370,2,80,3,18,22,28,38.31666666666667,-11.316666666666665,1,0
9631,17.0,462,410,2,80,2,18,21,28,23.4,-17.066666666666666,1,0
9632,17.0,466,390,2,80,5,18,21,28,10.566666666666666,-13.650000000000004,1,0
9633,17.0,466,232,2,80,6,18,21,28,6.95,-5.849999999999994,1,0
9634,17.0,467,225,2,80,4,18,21,28,14.6,-5.449999999999988,1,0
9635,17.0,465,246,2,80,1,18,21,28,2.316666666666667,-9.01666666666668,1,0
9636,17.0,466,246,2,80,0,18,21,28,1.0333333333333334,-4.433333333333337,1,0
9637,17.0,468,250,2,80,3,18,22,28,30.0,-0.01666666666667993,1,0
9638,17.0,468,293,2,80,2,18,21,28,8.966666666666667,-7.366666666666673,1,0
9639,17.0,464,311,2,80,5,18,21,28,12.033333333333333,-2.6500000000000057,1,0
9640,26.0,461,282,2,47,1,19,0,0,46.53333333333333,-10.533333333333333,0,0
9641,26.0,458,225,2,47,0,19,23,0,-1.2333333333333334,2.23333333333332,0,0
9642,26.0,460,256,2,47,3,19,2,0,177.05,-0.05000000000001137,0,0
9643,26.0,457,370,2,47,2,19,23,0,4.633333333333334,0.3666666666666743,0,0
9644,26.0,462,350,2,47,5,19,0,0,71.21666666666667,8.783333333333331,0,0
9645,26.0,459,224,2,47,6,19,23,0,8.25,2.75,0,0
9646,26.0,459,240,2,47,4,19,23,0,1.95,3.050000000000012,0,0
9647,26.0,459,264,2,47,1,19,23,0,15.2,18.80000000000001,0,0
9648,26.0,457,233,2,47,0,19,23,0,1.3166666666666669,7.683333333333337,0,0
9649,26.0,462,253,2,47,3,19,23,0,-0.8166666666666667,9.816666666666665,0,0
9650,26.0,460,258,2,47,2,19,23,0,4.15,7.75,0,1
9651,26.0,458,370,2,47,5,19,23,0,0.65,-1.6500000000000057,0,0
9652,1.0,458,390,67,5,1,20,23,45,36.53333333333333,3.26666666666668,0,0
9653,1.0,462,340,2,170,0,18,22,45,56.65,5.816666666666663,0,0
9654,34.0,495,200,2,52,1,19,9,22,2.7,30.51666666666665,1,0
