,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,diverted,estimatedarrivaltime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,filed_departuretime,filed_ete,filed_time,ident,origin,originCity,originName,route
5,1538674140,1538670282,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538674140,430,,370,1538670000,01:16:00,1538457948,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
6,1538604855,1538600599,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538604840,438,,310,1538598660,01:22:00,1538371576,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
7,1538538103,1538535060,E145,KDSM,"Des Moines, IA",Des Moines Intl,,1538538103,473,,280,1538534100,00:59:00,1538285166,LOF4648,KORD,"Chicago, IL",Chicago O'Hare Intl,OLINN OREOS OBENE
8,1538429797,1538425687,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538429797,428,,370,1538425860,01:23:00,1538198757,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
9,1538343660,1538340092,E45X,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538343660,435,,330,1538339460,01:06:00,1538112363,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
10,1538231760,1538229146,E145,KSAF,"Santa Fe, NM",Santa Fe Muni,,1538231760,438,,320,1538229600,00:53:00,1538025965,LOF4648,KDEN,"Denver, CO",Denver Intl,SOLAR4 DAAYE ZEDAN SAF
11,1538166535,1538166535,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538170380,430,,350,1538166660,01:15:00,1537939569,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
12,1538084348,1538080532,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1538084348,410,,270,1538080260,01:16:00,1537853157,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND FSD
13,1537997700,1537993781,E145,KFSD,"Sioux Falls, SD",Joe Foss Field,,1537997700,429,,310,1537993860,01:20:00,1537766757,LOF4648,KDEN,"Denver, CO",Denver Intl,YOKES6 CHICI HAAND ONL FSD
0,0,0,A319,KLGA,"New York, NY",LaGuardia,,1539107700,364,,0,1539101400,01:45:00,1538889937,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,
1,0,0,A319,KLGA,"New York, NY",LaGuardia,,1539020799,449,,370,1539015000,01:34:00,1538803562,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
2,0,1538928720,A319,KLGA,"New York, NY",LaGuardia,,1538934720,452,,370,1538928600,01:40:00,1538676248,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
3,1538766660,1538759940,A319,KLGA,"New York, NY",LaGuardia,,1538766660,453,,370,1538755800,01:34:00,1538509893,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
4,1538676719,1538670900,A319,KLGA,"New York, NY",LaGuardia,,1538676719,452,,370,1538669400,01:38:00,1538457948,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
5,1538589300,1538583000,B737,KLGA,"New York, NY",LaGuardia,,1538589300,423,,370,1538583000,01:41:00,1538371162,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
6,1538502540,1538496660,B737,KLGA,"New York, NY",LaGuardia,,1538502540,431,,370,1538496600,01:39:00,1538285166,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
7,1538416114,1538410140,B737,KLGA,"New York, NY",LaGuardia,,1538416114,426,,370,1538410200,01:39:00,1538198757,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
8,1538234880,1538234880,A320,KLGA,"New York, NY",LaGuardia,,1538240220,447,,370,1538233800,01:34:00,1538019802,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
9,1538151300,1538151300,B737,KLGA,"New York, NY",LaGuardia,,1538156940,426,,370,1538151000,01:33:00,1537939569,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
10,1538064480,1538064480,B737,KLGA,"New York, NY",LaGuardia,,1538070000,436,,390,1538064600,01:35:00,1537817317,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
11,1537978740,1537978740,B737,KLGA,"New York, NY",LaGuardia,,1537984380,385,,290,1537978200,01:43:00,1537766758,UAL791,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 ETG MIP4
0,0,0,A319,KPHL,"Philadelphia, PA",Philadelphia Intl,,1539096300,343,,0,1539090120,01:43:00,1538883989,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,
1,0,0,B739,KPHL,"Philadelphia, PA",Philadelphia Intl,,1539009780,477,,330,1539003540,01:44:00,1538775082,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,EARND ELANR EMMLY ETAME VHP ROD J152 JST BOJID2
2,1538933760,1538928636,B738,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538933760,459,,370,1538917140,01:32:00,1538929021,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
3,1538842980,1538837340,A319,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538842980,458,,370,1538830920,01:44:00,1538589391,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,EARND ELANR EMMLY ETAME EMEGE ROD J152 JST BOJID2
4,1538750100,1538745289,B739,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538750100,462,,350,1538744520,01:32:00,1538745728,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
5,1538664000,1538658672,B739,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538664000,456,,350,1538658120,01:32:00,1538659732,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
6,1538577507,1538572140,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538577507,448,,390,1538571720,01:33:00,1538357828,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
7,1538492101,1538486460,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538492101,460,,390,1538485320,01:35:00,1538282628,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,EARND ELANR EMMLY VHP ROD J152 JST BOJID2
8,1538404186,1538399064,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538404186,438,,390,1538398920,01:33:00,1538198757,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
9,1538312460,1538312460,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538317938,438,,370,1538312520,01:33:00,1538112362,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
10,1538145660,1538140070,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538145660,439,,350,1538139720,01:29:00,1537946272,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
11,1538059140,1538054220,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1538059140,444,,270,1538053320,01:33:00,1537853157,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
12,1537972800,1537967520,B737,KPHL,"Philadelphia, PA",Philadelphia Intl,,1537972800,440,,370,1537966920,01:33:00,1537733026,UAL381,KORD,"Chicago, IL",Chicago O'Hare Intl,MOBLE ADIME GERBS J146 CXR EWC JST BOJID2
0,0,0,E170,KELP,"El Paso, TX",El Paso Intl,,1539108720,380,,0,1539098520,02:50:00,1538889937,RPA3553,KORD,"Chicago, IL",Chicago O'Hare Intl,
