,ident,aircrafttype,filed_ete,filed_time,filed_departuretime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,route,actualdeparturetime,estimatedarrivaltime,actualarrivaltime,diverted,origin,destination,originName,originCity,destinationName,destinationCity
NKS1030,NKS1030,A320,01:06:00,1537248386,1537487700,430,,310,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537487700,1537490999,1537490999,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,03:06:00,1537470251,1537469700,460,,370,FRANT UG765 MAXIM G765 FIS DHP AR10 PREDA AR10 ZAPPA PERMT AR16 ILM RUKRR THHMP RAVNN6,1537469213,1537480825,1537480825,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
NKS1030,NKS1030,A320,03:10:00,1537248386,1537469700,454,,350,,0,1537481100,0,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
JBU1326,JBU1326,E190,01:07:00,1538371564,1538611500,287,,0,,0,1538615520,0,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,00:56:00,1538285155,1538525100,404,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,0,1538528722,0,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,00:57:00,1538198746,1538438700,400,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538443800,1538447220,0,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:04:00,1538112351,1538352300,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538352740,1538356380,1538356380,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,00:56:00,1538025954,1538265900,400,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538265180,1538268660,1538268660,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:21:00,1537939558,1538179500,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538180460,1538183820,1538183820,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,00:56:00,1537853145,1538093100,400,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538093292,1538096460,1538096460,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
JBU1326,JBU1326,E190,01:13:00,1537766747,1538006700,410,,270,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538016295,1538021326,1538021326,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
